Track,Artists,Album,Duration
Twenty Somethings,The Central Park North,Twenty Somethings,2m32.695s
Smooth Sailing,Norberg,Smooth Sailing,2m5.328s
A Flower Is A Lovesome Thing,Saginaw Society,A Flower Is A Lovesome Thing,4m51.765s
Not Nice At All,Bridgerton Vail,Not Nice At All,2m56.222s
The yellow note,Hollbeck,The yellow note,3m49.756s
Your Smile,Magnolia,Your Smile,3m21.465s
Elegant As They Come,Prism Trio,Above the Clouds,4m22.566s
A Rainy Night,Dee Burton,A Rainy Night,3m25s
Soft Lad,Tyrone Coates & Friends,Soft Lad,2m54.552s
Speak Low,Madeleine West,Speak Low,2m44.726s
If I Ask You Now?,Ellie Manne,If I Ask You Now?,3m26s
How About You,Neo Fourths Trio,How About You,3m22.555s
Home town,Cole Peers trio,Home town,2m58.25s
Young At Heart,Most Iverson,Young At Heart,4m39.557s
Beloved Moment,Cara Myers Trio,Beloved Moment,3m26.511s
Sunset Stroll,Urban Jazz Junction,Sunset Stroll,2m44.682s
Something about him,Bruce Willmington & Co,Something about him,2m40.111s
In the Rain,Gillian Spencer Trio,In the Rain,3m58.501s
You're All I Can Think Of,Original Three,You're All I Can Think Of,4m58.111s
I'll Remember April,Jean Fines,I'll Remember April,3m27.64s
Serendipity Swing,Michael Stylez & Co,Serendipity Swing,4m12.128s
Moonflower,Douglas Ruby Trio,Moonflower,3m4.889s
Heaven here,Greydon Park Band,Heaven here,3m32.11s
Soulful Stroll,James Earle Trio,Soulful Stroll,3m50.088s
Into The Unknown,Joe Wilson Trio,Into The Unknown,2m37.59s
The surf shirt,Flatland Park,The surf shirt,3m4.088s
Fading Skies,Eric Rowland,Fading Skies,3m1.249s
Summer Green,The Slow Nine,Summer Green,4m23.481s
Muddy Trail,The Three Queens,Muddy Trail,3m40.879s
Linda´s Dream,Nordic Light Trio,Linda´s Dream,2m49.218s
Autumn Embrace,Novo Stella,Autumn Embrace,2m33.935s
Ill Wind,Will Mays,Ill Wind,2m31.11s
Café Conversations,Foster Davies,Café Conversations,3m44.076s
Passing Time,Sean Murphy,Passing Time,3m5.842s
Chasing Rainbows,Emily Green Trio,Chasing Rainbows,3m28.133s
The next day,South North,The next day,2m13.419s
At Dawn,London Dunes,Paris in Spring,3m53.946s
On Repeat,Evelyn Parker,On Repeat,3m24.006s
The Fate of Love,Mino Conte & Co,The Fate of Love,2m50.177s
Autumn Promises,Derek Hines Trio,Autumn Promises,3m18.826s
When Love Is Gone,Long Island Quartet,When Love Is Gone,3m35.015s
English Rose,Karl-Erik Trio,English Rose,3m6.053s
Food is the dream,Dan Evans-Parker,Food is the dream,2m21.905s
Late Bagatelle,Nouvelle Marée,Late Bagatelle,3m59.125s
Glencoe Sketches,Saphena Trio,Glencoe Sketches,4m21.316s
Midnight Memories,Arthur Taylor Trio,Midnight Memories,2m50.232s
Yearning,Ikigai,Yearning,2m59s
24 hour stopover,Brandon's Three,24 hour stopover,3m25.829s
Crooked Politicians,Tate Jackson Trio,Crooked Politicians,2m57.772s
Let's go uptown,Newington Green,Let's go uptown,2m20.648s
Nightfall,David Parks & Silver,Nightfall,3m12.269s
My Shining Hour,Avery Miller,My Shining Hour,2m23.5s
My Ship,Cecil Andrews,My Ship,2m36s
Silky Smooth,Eira Eld,Silky Smooth,2m44.44s
Offscreen,Steve Luke & Holloway,Offscreen,2m35.381s
As I Ponder,Ted Ross Quartet,As I Ponder,3m19.355s
Across the Ocean,Prism Trio,Candles on the Moon,2m43.57s
Detour Ahead,Paddington St. Group,Detour Ahead,2m57.813s
Lily-white,Southside Trio,Lily-white,2m22.586s
Midnight Serenade,Anita Rosswell,Midnight Serenade,4m19.173s
I Remember Clifford,Angela Rowles,I Remember Clifford,4m49.124s
Thoughts Of You,Arto Ferrara,Thoughts Of You,2m56.124s
You Are Too Beautiful,Grace Carey,You Are Too Beautiful,3m18.165s
Story of My Dream,Almost Here,Story of My Dream,2m57.431s
